Title,Album,Lyrics,TitlesCleaned
Shake It Off (Taylor's Version),1989 (Taylor's Version),isotlgnimbtwpsmtwpsmigotmdhbicmtsaltwpsmtwpsmbikccswsmiligtmimmsigbactpgpppppathghhhhhbijgssssssioisioohgbbbbbatfgfffffbijgsssssisioisiooinmabilomfatwtdsmtwtdsmidomodomoimtmuaigmuaigatwtdkmtwtdkmbikccswsgiligtmimmsigbactpgpppppathghhhhhbijgssssssioisioohgbbbbbatfgfffffbijgsssssisioisiooisioisioiiisioisioiiisioisioiiisioisiohhhhjtwybgdaoatlatddcotwycbgdttsbmebhngslomghbijgsattfotwthghwycoobwcsssyowctpgpppppathghhhhhhghbijgsssssisioisioohhgbbbbbmatfgffffftfafafbijgsssssisioisioooisioisioiiisioisioiiisioisiooiiisioyisioisioisioiiisioisioygtiiisioisioiiisioisio,sio
I Wish You Would (Taylor's Version),1989 (Taylor's Version),i2aiycwdypmstmsysiitpydsayttihyncysdkwinsiwywcbwinhutplidiwyktinfyalailaiwywrhrniagiwywi2aimrhptwpitoywacliasldmywtrahtimytrbaiwywcbwinhutplidiwyktinfyalailaiwywrhrniagiwywiwwcgbarwwwffaiwyktimytmtbmaaiwywrhrniagiwywiiiiiwiwiiiiiiwiwiiiiiiwiwiyakhtpmbiiiiiwiwiygmeaniiiiiwiwitmmlmycriiiiiwiwitsbwysiiiiiwiwiiwywiwywiwywiwywiwywiwywiiiiiwiwiiwywiwywiiiiiwiwi2ahwasyfhmvitdwacliasldmywrahbimutrbaiwywcbwinhutplidiwyktinfyalailaiwywrhrniagiwywiwywcbwinhutplidiwyktinfyalailaiwywrhrniagiwywiwwcgbarwwwffaiwyktimytmtbmaaiwywrhrniagiwywyakhtpmbiiiiiwiwiygmeaniiiiiwiwitmmlmycriiiiiwiwitsbwysiiiiiwiwiiwywiwywiwywiwywiiiiiwiwiiwywiwywiwywiwywiwywiwywiiiiiwiwiiiiiiwiwiiiiiiwiwiiwyw,iwyw
Bad Blood (Taylor's Version),1989 (Taylor's Version),cbnwgbbykiutbmlstalwydcbnwgbbhnwgpaidtwcstymardcabnwgbbhdyhtdtiwttycbtdyhtrwwsniardyhthmwiwbicbariisdsitwlylramoissttatgtyaicbnwgbbykiutbmlstalwydcbnwgbbhnwgpaidtwcstymardcabnwgbbhdytwbfsgsombfyksdtiitptkwtlatlndytiatattwcutyatchbtwsiycmwjdoissttatgtyaicbnwgbbykiutbmlstalwydcbnwgbbhnwgpaidtwcstymardcabnwgbbhbdfbhyssjfsiylltylwggbdfbhhyssjfshiylltylwghmiylltbrccbnwgbbykiutbmlmlstalwydcbnwgbbhbbnwgpaidtwcsttwcstymardcabnwgbbhcnwgbbcbnwgbbykiutbmlstalwydlwydcbnwgbbhownnwgpaidtwcstymardcabnwgbbh,bb
Wildest Dreams (Taylor's Version),1989 (Taylor's Version),hslgoottdootcaftcithchmnnlfbtigtmdhstahahhsbbhdiswicsteaibmocisyrmsiandsatsbrlarcsysmaeiijiywdahwdahisnohtkwwdhhaimhhcaimrahviafsnlfbtiggnhstahahhsbbhdiswawwhovlkmlriisyrmsiandsatsbrlarcsysmaeiijiywdahhhwdahysmihtuwyanbidswylmibtmfyaysmihtuwyanbbiiddswylmibtmffyyaafyasyrmsiandsatsbrlarcsysmaeiijpsyrmsiandsatsbrlarcsysmaeiijiyjpjpwdahawdaheiijiyiywdahiywdah,wd
How You Get The Girl (Taylor's Version),1989 (Taylor's Version),oooooooooostlagsftrrsoutdasayisibalsmaywtatthwywwathiwthygtgatysiwyfwofbiwwfaebyhipibtiwwfaeathiwthygtggoathiwthygtggrhhiutbbyyopifokoccthhymhlymowylhaaanthwwathiwthyltganysiwyfwofbiwwfaeeaebyhipibtpibtiwwfaeeaeathiwthygtggoathiwthygtggyyayktidwytgrmhiutbpifokocasywmyycatysiwyfwofbwofbiwwfaeeaebyhipibtiwyfaeiwyfaeathiwthygtggcihiwathiwthygtgggtgthiwathiwothygtggoathiwthygtggathiwthygtg,hygtg
This Love (Taylor's Version),1989 (Taylor's Version),cbwhtcabyiaicgoaooaoaiwsgdcsyoaaywjgaggagissiwdindottligtlibtliabftdothhtligfatlcbtmooottsttnwsnbicgoaooaolbfimmfoybywsgggilgossysujittligtlibtliabftdothhtligfatlcbtmotllapmtligitdothhtligfatlcbtmotltltltlotltltltlotltltltlotltltltlykmciwylysmgiftmkwyyyjrbycbtwyntligtlibtliabftdothhtligfatlcbtmotltllapmtltligitdotlthhtligfatltlcbtmotltlotltlotltltltlotltltltltltltltltlcbtmo,tl
I Know Places (Taylor's Version),1989 (Taylor's Version),iiiiiiiiiyswyhomwiasawohipsichtwawpbiabsbsshwefostvcdclaflficboicboctgtctgtbagtathwatfawrbikpwwbfatbctttttudciikpwchikpikplfawrftfltswtwwwhillssatdtnttjgmhadedimltathwatfawrbbikpwwbfattbbctttttudciikpwchikptathwatfawrjgmhadedimlbbikpwwbfattbbctttttudciikpwchikpitttsbwbikphaykfmiayikpiitdonyesgikphaikfyiamikpiiiiii,ikp
Clean (Taylor's Version),1989 (Taylor's Version),tdwtvwaawtftwgtdotiwmamobafaaysaomlawdicwahmhailtwatstblapstrcpdwiwdtwicfbabmgwatoyitiafctwnltdaawtbttdtcmwrsipahitraaltfcaampoytwfmlisslbnohattrcpdwiwdtwicfbabmgwatoyitiafcitiafcasitiafcatmsimajbycdmydmitmoiwginticingritdwtvwaawtftwgtdottrcpdwiwdtwicfbabmgwatoyitiafctrcpdwiwdtwicfbabmgwatoyitiafcfctifcatifc,c
Wonderland (Taylor's Version),1989 (Taylor's Version),flawtawtawfdarhyhottmcnaisasoocdttudritdyfygeamhyhwbocmodiasnaeifyatamishswoeoanwfwyaigliiawpiclfewfwyaigliialwnwbnbeeiwiwiwiwswwoowtilttsaaosisbtwswawtttatttsodttudritdyfygeamdycmfwaccsodiasnaeifyatamiafagtsltmbdwfwyaigliiawpiclfewfwyaigliialwnwbnbeeiweeiwiwwiwirfybywgikihtgbhystwfsetmyflwwhaiteiwwbwmowfwyaigliiawpiclfclfwfwyaigliigliialwnwbnbnbwfwyaigliiiwawpiclfiwwfwyaigliiiwalwnwbnbiw,w
You Are In Love (Taylor's Version),1989 (Taylor's Version),oldrmjfytmtfypibboacljnpnmbysesthdcamtlrtcoynhsluaysbnpotbyfeychiitssssyycfiotwhwhwhwhyycsiwtlosiwtlololoyailtlyailmhpbtsykhshkhwafoylgoyfaygosnmbiseykosyftytonhwslohfptsymbfaykwiwhiilychiitssssyycfiotwhwhwhwhyycsiwtlosiwtlololoyailtlyailasigytadiasgrarahkapoyihodayunwtltmaftwawismwlttpiiwcychiitsycfiotwhycsiwtloyailtlyailychiitssssyycfiotwhwhwhwhyycsiwtlosiwtlololoyailtlyailaychiitssssyaycfiotwhwhwhwhyaycsiwtlosiwtlololoyailtlyail,yail
New Romantics (Taylor's Version),1989 (Taylor's Version),wabwastoewwfttjacwsoodsltmmibwsybwotrtrwpdbwkewwdwctomitbhlijacacbicbacooatbttamaedilabbenwuiladbwtnrcocawmhitnawsipwatbdtgkoofbwtnrtbpilafwahtlanabwhbiaittiphcsiimfbiatpmaawnlbawwidwtutsslarctratacbhmotatacbicbacooatbttamaedilabbenwuiladbwtnrcocawmhitnawsipwatbdytgkoofhbwtnrtbpilafoooooooooscocawmooootbpilafooooptmhaptmdaplmsisrisracbicbacobicbacooatbttamamaedilabobenwuiladiladcbicbaccooatbttamaedilabaedilabobenwuiladbwtnrcocawmhitnawsipwatbdhtgkoofbwtnrtbpilaf,nr
"""Slut!"" (Taylor's Version) [From The Vault]",1989 (Taylor's Version),fpsbccbtyiaamspwiainiyglwstmhglaomblttynfhiwcawsomclankltaotriptpywbiiadutmawblauaitcmasykimbwifoaiigbdimawbdilstchwttsasttfmewhtwmctwpatrtaibdthpmiiawobhagglwstmhstmhglaombomblttynfwptpigbiiaduiiadutmawblaulauaitcmasitcmasykimbwifowifoaiigbdimawbdilhatytittnltilynsyilwmbygthatyciabmisimbuiypfinsdiadiabygtuaitcmasykimbwifoaiigbdimawbdil,s
Say Don't Go (Taylor's Version) [From The Vault],1989 (Taylor's Version),ikiftvswasitddononiutwiasfimononiwsisoataihmbalblhotdbiwcihohfytsdgiwsfiysdgwyhtlmowyhtttkwaalmbbwywitdjtlmitnnyshmssssddggiwsfiyssddggssssniposgsamtybioononinfcykmaistaiybynmononyntisotsaiwfytdbitstctywsiatfuyssddggiwsfiyssddggwyhtlmowyhtttkwaalmbbwywitdjtlmitnnyshmssssddggiwsfiyssddggsssswyhtwyhtmmwymmwywyhtwyhtgmnbwyhtwyhtmmlymmlyisilyisilyysnbwyhtlmoowyhtttkwaalmbbwywitdjtlmitnnyshmssssddggiwsfiyssddggwssssbywbywbywiwsfiysdgbywbywbyw,sdg
Now That We Don't Talk (Taylor's Version) [From The Vault],1989 (Taylor's Version),ywtapihfeyptcltrsdegmsdygatotwhiginekntwdtygyhlygniaftoillytloimtowydhtcbigidhasntwdticmmsstiwftbrmtmigywmlicbyfsiptpowilawicntwdtwdytyfwsdlwwtiicpipijesicmmsstgiomcomcrmtwyftiluilicbyfsiptpowilowilawicntwdtidhtpilarotiltboamywimwtitgmiabontwdtatowbtmdwttiasmjlihbwywcmgtihihtbntwdt,ntwdt
Suburban Legends (Taylor's Version) [From The Vault],1989 (Taylor's Version),yhpwcyounimpvilislahoaspsawqfywsmiwaofwtcociwatomepawictyidchtmfwwbtbslwyhmihmtaykmiawtgsmufihtftmomsswstwswieubaocrwiwyybmtacimodwtproiasia1gaicssynidchtmfwwbtbslwyhmihmtaykmiawtgsmufiktysrwwbtbntwytmwgbtaykmiawtgsmuftotcipdybibmohcywtptdiwcotsidttdydkaamwlrtotcipdybibmohcywtptdiwcttsidttdydkaaiakitmlwbr,sl
Is It Over Now? (Taylor's Version) [From The Vault],1989 (Taylor's Version),iiiiiiiiiiotfhfuwtwotruisaauyswglfftthtclisypaysouwydommbicyaltysiembfsgbwiowsldoycwiowhumbchiwiyeiydaypobwiotaiioniiiiiiwylcurbwsubdoabuyngimcadytidsytwflalihtdtkmnoosorbmhatamwsolitajoovtsjtsycrastotibwbnlfftthabdloisgbeiwstypdhonydommbicyaltoysiembfsgbwiowsldoycwiowhumbchiwiyeiydaypobwiotaiionuiiiiiiuiiiitidsytwflalihtdtkmnoosorbmhatamwsolitajoovtsjtsycrrastotibwbnflololfftthtclofliwhybtastotolibwolbnwiwiwiwiwiwi,iion
Sweeter Than Fiction (Taylor's Version),1989 (Taylor's Version),htghtghtgooosostyhinynsicswysranycuaiiiisyfsycoykeasyliacsycfwicmibsywrtpytwlfaeatystftiwsikiaayewtdtlistfjasjasitdooaygaygayshtnsicyhtgranyotsiiiswaswaswtlcopmrpmrwyptwaitpwilwdrtrwtwlfaetystftiwsikiaayewtdtlistfwtysntmntmaaotrihyewtdtlistfwstfibootmslaynlaynanibootmsymupymuppibootmslaynlaynanibootmsymupymuppawtcynatpypiafyktibttaacilywwyhtghtghtgooosostyhwnnitpwilwdrtrwtwlfaeftystfttftiwsikiaaayewtdikiaatlistfstftysntmntmaaotrihoyewtdikiaatlistfistfistfisyisisistf,stf
...Ready for It?,reputation,khwakfttishwhmghhlalhbihagticbaphhfrssbatthhdtaatytmebhalsamsisnbikhflaviiishtiggtmaynbaibaldlnohtkitmotnimdyssttwdbmitmotnimdikigbwysitmtayrfikiwarftthsmsharoanssbiiatthcjthawmtaiaahcbmjbtttelikiciafiftnnisvtnnbtsnniiishtigggtmaynbaibaldllnohtknohtkitmotnimdyyssttwdwdbmmitmotntnimdmdikigbwysitmtayrfioayrfibltgbltgbltgbabltgbltgbltgbiiishtiggtmaynbaibaldlnohtkitmotnnimdmdyssttwdwdbbmyitmotnimdmdikigbwysitmtyitmotnbltgbltgbltgbayrfibltgbltgbltgbayrfi,rfi
End Game,reputation,iwbyegiwbyfsiwbyawwiwbyegegbrbroyamwgbraayhamoigsbeybrbroyamwbabcaggaihayoyyltbotysddoissinatwdtmiitgliwabigargtdpmyiocawynmyiiagycttayigabbptwtlyliilitcymtyhmdaipywmlidwtyidwbjaeydwsidwmyidwmyltogdidwhyijwbdotbwyaomikwtasikwtasbiatpiwbyegegiwbyfsfsiwbyaaiwbyegegkhwiwyrwwwlbobsigiacobomsrpmirikttiietiibmewwawndiflayutgabeuitsfaybtatwydiwefamfpaiimmamscthtdatsswbot4ojopdwtftegitowfwottomtinsiidwtyidwbjaeydwsidwmyidwmyltogdidwhyijwbdotbwyaomikwtasybiatpoiwbyegegiwbyfswbyfsiwbyaaiwbyegegbrbroyamwgbraayhamoigsbehbrbrbryoyamwbabcaaihayoyltbotihylbwttfibwjcaibhbikmowiperpmttyicisidltdilmaiclygyhomsilyealilybigybcmboamutshttfmrloaiwbyegegiwbyfsmayfsiwbyahbyanaiwbyegegiwbyegoidegiwbyfsfsiwbyaaiwbyegeg,eg
I Did Something Bad,reputation,intanbtlmsipelavaimilosecfelittttmttihtwwnahtaimicftfomscrpomliamtstiohnidriobchhictsidsbtwifsgtsidsbbwifsgmfiehaidioaoaoaiicijfsggrrrdddintapbtlmsifeaatwailtttsmtnsicwidntihtwwyglbyglicftfomshsdtaagtbihdmntiohnaihsmcthhictsidsbdtwifsgtsidsbbwifsgmfiehaidioaoaoaiicijfsggrrijfsgrdddtbatweiyaotgtpaptrartbatweiyaoslmulmulmulmulmugaalmulmulmulmulmulmulmulmulmutsidsbotwifsgsgtsidsbbwifsggmfiehmfiehaidioaoaoaiicijfsgggrbrotsidsbtsidsbrtwifsggsgbwifsgwifwifsgbijfsgg,idsb
Don't Blame Me,reputation,dbmlmmciidyadirlsmmdimbibuftromlibbhaltatwtogjpfmtushftftitdlpspijnyfyiwctliwwmtiwlmmtssgtfttdbmlmmciidyadirlsmmdimbibuftromldbmlmmciidyadirolsmmdimbibuftromlmniwydaijgcymiibiybybeeoynimmhhmoiowpibniydabfyiiwwffgjjtttyfiiyywaibyomktsdbmlmmciidyadirlsmmdimbibuftromlyodbmlmmciidyadirolsmmdimbibuftromligshoetyetylmylmtomloetyetytmytmetyetylmolsmmdimbibuftromluftromlowdbmlmmciidyadirdirnlsmmdimbibuftromlodbmlmmcoiidyadiryadbolsmmdimbibuftromlibuibuigshoetyetylmylmolsmmdimbibuftroml,dbm
Delicate,reputation,taftbmrnbwsymlmfmwcmapncwbbycmmaddboteswyaplumnitbchycmmitbdjaynlayodnstcbjtotftwcdcilytaftbmrnbwsymlmfmyiwywcmapncwbbycmmadiictisatiictyimhciktiddiictisatiitstdtyciktidiiiiiiiiiiiiiiiidtfotwsmayhyamwavdtgbhtylidlnwyhuimheoyfotsshhidwscilytaftbmrnbwsymlmfmyiwywcmapncwbbycmmadiictisatiictyimhciktiddiictisatiitstdtyciktidiiiiiiiiiiiiiiiidsiwwysayedomswiliyeipymatdtcilyiictisatiictyimhciktiddyiwyiictisatiitstdtyciktiddcilyiictisatiiiictyimhiiiiciktidiidyiwyiictisatiiiitstdtyiiiiciktidiid,d
Look What You Made Me Do,reputation,idlylgdlytstrymmpotfnidlyidlypchylwylystgwmicnidlyobigsighitnothiruftdidiattigalonayiiruicioticitoolwymmdlwymmdlwyjmmdlwyjmmolwymmdlwymmdlwyjmmdlwyjmmdiiddlykkkttobtmmyyamfaptslmoatafwtwmoadaddbnfmnfmaitaikattwmobotfsmigmbyagybigsighitnotnothiruftdidiattidiattigalonayiiruicioticitoolwymmdlwymmdlwyjmmdlwyjmmolwymmdlwymmdlwyjmmdlwyjmmdidtnantmibtasiybdidtnantmibtasiybdidtnantmibtasiybdidtnantmibtasiybdolwymmdlwymmdlwyjmmdlwyjmmistotccttprnolwymmdlwymmdlwyjmmwocsdoolwymmdlwymmdlwyjmmdlwyjmmolwymmdlwymmdlwyjmmdlwyjmmdolwymmdlwymmdlwyjmmdlwyjmmolwymmdlwymmdlwyjmmdlwyjmmd,lwymmd
So It Goes...,reputation,syitdaeoymmaeouymedacmipgchtmfbatwttwygcwbdalbwygmaisscbikwykwcfiaatpfripgcuiamloyfsigiytkaiytlykinabgbidbtwysigmyiabaeomyiaeouimaygdcawylaniscbymmjbigyhsswigcwbdalbwigyaisscbikwykwcfiaatpfripgcuiamloyfsigiytkaiytlykinabgbidbtwysigchdibnsssigsdybnsssigydanombhbwcidanoybhbwcydanombhbwcwcottaatpfpfripgcuiamcuculoyfsigiytkoaiytlbykinabgbiiddbtwysigchdibnsssigsdybnsssigchdibnsssigsdybnsssig,sig
Gorgeous,reputation,gystiaactigdamfotwytystatcoymfbaltsaigabhotuhitcdidkwyscimmhysmihysmwoisavyrmlbnbmysgicsatyfclayfgaisfayfmmftwbwcisygystiaactittehbybybyaystatcoytmhiadrdrdriygagijohbiysthwcysgiahhihobelimiflimsadadysgicsatyftyfclayflayfgaisfayfmmftwftwbwcisygymmshitbtsytnihmtwichayasgimmsmmymmshitbtsytnihmtwichagijsohtmcuauywcaoysggicsatyftyfclayflayfgaisfisfayfmmftwftwbwcisisygymmshitbtsytnihmtwichayasgimmsmmygymmshitbtstbtstnihmtwichwichyasgimmsmmyg,g
Getaway Car,reputation,nngsiagciwtbottwocisamabymbidmiaydsittwbtlwwisogiciwtlhinarxmtswwfahptwiwltmikiftfofwwcwnhassitdoywdtgcwwfbwngfdpisamtatpwyfmmriagctwsitboyhskibtftltatpwyfmmiagcontngfonngsiagciwtgetpbtlofomfbywtaiwjdwhwrauiwsgggbwtouhiasaacaalsanwbswbsxmtswwfahptwemfhikiftfofwwcihylasstthoywdtgcwwfbwngfdpisamtatpwyfmmriagctwsitboyhskibtftltatpwyfmmiagcontngfonngsiagcwwjbacouisttosttosinsityiocutnwiiagcilyiambptmiabaistktwtltyesmodtgcwwfbwngfdpdpisamtatpwyfmmriagctwsitboyhskskibtftltatpwyfmmiagcontngfonngsiagciwriagciwciagciwdiagcsgiagcriagciwciagciwdiagcsgiagc,gc
King of My Heart,reputation,ipfilomoimummibobawmafwanytocmbltocstmiyaqaymtmliambawrtkimrcatbatecwtrratjntmqwydaaaoyatoihbwfkomhbaswaaaoyaiwinlygkomhbaswaaaoibwwwwaaaoyatoihbwwbaswaaaolitntcayliasihddtkcmpttoylimiolstmiyaqaymtmliambawrtkimrimrocatbatecwtrratjntmqwydwydaaaoyatoihbwfkomhbaswaaaoyaiwinlygkomhmhbaswaaaohibwwwwwaaaoyatoihbwwwwbaswaaaoitteoatembbamwatnwsuotrwasgcdboopcsyfmnfsbaaotieaaaoyatoihbwfkomhbaswaaaoaaaoyatoihbwfkomhbaswaaaoyaiwinlygkomhmhbasmswaaaoibwwwwwaaaoyatoihbwwbaswaaao,komh
Dancing With Our Hands Tied,reputation,iilyisfsywlwrotyoohwytkammlhbfdbbypmgoayhmcohwitkiicsfwyhimppoyfiailystwnitwtcsiihabfadyhtmbiasopstputopiktwnoitwwctiihabfbwwddwohthtywwdliwtftftywwddwohthtywwdaihabfbwwdiilyisodfttwwdusbcwdotaaasstwgiiambitmtywocigokywmiicsfwyhimppoyfiailystwnitwtcsiihabfbwwddwohthtywwdliwtftftywwddwohthtywwdkwhohtaihabfbwwdikyatlwosatrbdihyatwriiicdwyaikyatlwosatrbdihyatwriiicdwyaaydwohthtywwdoywwdliwtftftftftywwdodwohthtdwohtywwdaihabfhabfbwwdhthtd,dwoht
Dress,reputation,osmiacrtgniamaytiaiitsoymymomagtaotsappaamhasfhbfyhaaaotsappadwmhasfatahhhsmnaejsidwylabfobtdsyctiotiohhhcynimbcidwylabfobtdsyctiotiohhhiinegtaiigbalwweiswitbykmfawbdetttkubtknaaotsappaamhasfhbfyhaaaotsappadwmhasfatahhhsmnaejsidwylabfobtdsyctiotiohhhcynimbcidwylabfobtdsyctiotiohhhhhobtdsyctiohhhobtdsyctiofwymmybamhbeimwtycstbimftmmmrmeeimwlysttimaiwujitniwubysmoaomliwujitniwubysmhsicetahhhsmnaejsidwylabfobtdsyctiotiohhhcynimbcidwylabfobtdsyctiotiohhhtiaiitsoyobtdsyctioymymomgtobtdsyctio,d
This Is Why We Can't Have Nice Things,reputation,iwsntbpjitpftbesiacsatanrwysuhbbrtcfsgftwyswyhtrompismhaltgtiwwchntdbybtihtttatiwwchnthodytiwhattysamtiwwchntiwsnbfatiwgyascbysmitbwsmhatltifdtttygyotpamyasitaatamfbintofyllmioywsstiwwchntdybybtihtttatiwwchnnttbhdytiwhattysamtiwwchhattmrftdcathsahtmbharwtcmlahtmmhtltatdahtycfianttdhicesiwasftiwwchtiwwchntddbybtihtttaatiwwchnuutonhbodytiwhattysamtiwwchonontdahtmrfobybtihtttaahtmbontonhtdcathsdytiwhattysamtiwwchnt,tiwwchnt
Call It What You Want,reputation,mccoibaktagtttcbiaatlacmonhfmfmidbtiewcmbfladwwhhditohwtsciwywyciwywtmbflajshatwslmlibnsciwywyciwywtamfgbatwbuatshbafjtkmwatdqtsatjduaktftnwilahaikimtsmetbbinlalidotridotrilwmlmfucthlabyykidotrsesumdnmbfladwwhhditohwtsciwywyciwywtmbflajshatwslmlibnciwywciwywcisciwywyciwywtiwtwhioacrmncrmnnbhombchrkmwimttcsiirlnhmbsisydntsmbwyrawmywyrambfladwwhhditohwtciwywciwywcisciwywyciwywitciwywtmbflajsohatwslmlibnciwywciwywcisciwywyciwywtciwywciciwywciwywciciwywciwywciciwywciwywciciwywciwywciciwywciwywciciwywciwywciciwywyciwywt,ciwyw
New Year's Day,reputation,tgotfatpgctsditlcwapothfyamftnbbdrtlpbiswylaisaytaiwymbibcubwyonydysmhttitbotticttigbalribtiyttottboiysoaychdrtlpbiswihoiwowmmiwymbibcubwyonydhottmtwhotyhottmtwhotyhottmtwhotyaiwhotypdebaswlicrapdebaswlicratgotfatpgctsditlcwapothfyamfdrtlpbiswihoiwowmmiwymbibcubwyonydhottmtwhotyhottmtwhotyhottmtwhotyaiwhotyhopdebasttmtwhotywlicrahottmtwhotypdebashottmtwhotywlicraaiwhoty,nyd
I Forgot That You Existed,Lover,hmddistbhydmwwwlitsywttaomswgggaicgafyimfmtdsyynomltfrlimmbtshomniftyeaittiwkmbidaiwsnspaqiftyeiiliihijiiftygospasamrsgdddlotsyasaituahtgggaiwsafywftwtsywbrtfreinctysbyswyatomniftyeaittiwkmbidaiwsnspaqiftyeiiliihijiiftysmacmtmshlijfwtwiajabiftyeaittiwkmbidaiwsnspaqiftyeidididiihijiiiliihijisy,iftye
Cruel Summer,Lover,yyyyfdhitqotnykticioyyriwibbbstwapyktibioyyriwikmsotwiawfytbwbdrtdartewdkmmmwymaintsoybibtfigaiowiacsictwitenribhbowiacswyhyhlitgotvmindoyyriwiwstwjsiuitttwntoyyriwiscthsakiawfyjtcttbdrtdarteaiibybtltkointsoybibtfigaiowiacsictwitenribhbowiacswyiditbotcaiclabchftbosifbiwtidwksjtkyaisittggentsjtsmfoaisfwiwilyattwtyehhlugladintsoybibtfigaiowiacsictwitenribhbowiacswyiditbotcaiclabchftbosifbiwtidwksjtkyaisittggentsjtsmfoaisfwiwilyattwtyehyyyy,cs
Lover,Lover,wcltclutjatiopwmtratadhamwaydhikytsotycigwygcwabtcfaeatmoatmhymmmmlwclofcitlrtiopwmtcaihstewsywyilytsnhbiweacigwygcwabtcfaeatmoatmhfaeymmmmllagwypswegssomhittmfoamtbmlmhbbayhbbawtewteuwystboattmlaysaydjfmaaetisyaslcigwygcwabtcfaeatmoatmhfaeymmmmoymmmmdymmmml,l
The Man,Lover,iwbciwbctsiptfbifstctatwbofmtdecihmwmmmoabtyibaflibaatwebywtlissorafaicwiigtqiiwamaissotcamaciiwamtibtmibtmmibtmmtsihpitwtwsthaqhmotidwiwwiiwrcabsfmgiapmatwttmoaltppibjllisissorafaicwiigtqiiwamaissotcamaciiwamtibtmibtmmibtmmwiltbaridagbamaiagiybaioiymiiwofmdibabnabtpmotbbsiotimissorafaicwiigtqiiwamyktaissotcamacamaciiwamiiwamtibtmtibtmissorafaicafaicwiigtqiiwamhaissotcamacamaciiwamiiwamtibtmibtmmibtmmoibtmmyibtmmibtmiiwamtibtm,tm
The Archer,Lover,cirfcisidwtbwiidccwitmigahtsiastyetcetgijfttiroainguigsohmhotyibtaibtpwcelmdbwcsdsisfydsbwiiarrrhaicomnjtsmftihmrfyayiwitniplagtriofisaaomhdaahmhotyibtaibtpswcelmdbwcsisrtmisrtmctsrtmtsrtmtsrtcysrtmtsrttsrtmisrtmisrtmatkhatkmcpmtacaomesofhmhotyibtaibtpwcelmdbwcsisrtmisrtmwcswcswcsycsycscirfc,ta
I Think He Knows,Lover,ithkhfotsltwicsgtenithkhhaacgmmwktblimhgtbltiliamiaaaidutpili1nunouhgmhsd1agtaimwswutaliwybmsaiagthithkithkithkwwgaaimmahahwmtsithkhblidoiwsacgonwhhgtbltiliamiaaaidutphsowmabiubiuhgmhhsd1agtaimimwswutaliwybmsaiagthithkithkiwybmiwybmiwybmiwybmslsiehomtwcftsidlsiehomtwcftsidswwggiwitdwwggithkhgmhhsd1abgtaimimwswutalyiwybmsaiagthithkithkiwybmiwybmiwybmobiwybmshgmhiwybmsd1abiwybmiwybmsaiagthithk,ithk
Miss Americana & The Heartbreak Prince,Lover,ykiayicfytiwasliafswhqmbpilitlagfbmnifhrumpdrtrtistsarfmlanccmpsicdicmtsyttsytibaltcbiyamtmwwtwithsabbgotwsirfdypsgywspiyamtnltmaathpowsswpttbvmltrawymtilbabisthfbtbglwmhhyatoowstcasbbmifhtdadbwbbtwatwmdisanccmmcicdicmtsyttsytantsicbiyamtmwwtwithsabbgotwsirfdypsgywspiyamtnltmaathpowsswpttbvmltrawyaidwytgidrwfcngwityschaidwytgidrwfcngwityschaidwytgidrwfcngwjtyskainlygciktiaftswgwiyamtmwwtwithsabbgoijtyskyskiyamtnltltmaathpowsswpttbpibvmltrawyaidwytgidrwfcngwityschainlygciktiaftswgwjtyskiyamtmwwtwithsabbgsabbg,mathp
Paper Rings,Lover,tmihlyfwtntwfmwhattsyotiniraotbbybtwicltstigyitscamfamototniwuitnawybakmocykihalnokmtcigbauttciwmwlotottfilstbimywprutrdytoiwaihaewwwffttutrdytoiwipripfiddoytoiwitwitiopwyjifiwitiwyeiimmbwtmbttctwpybwhwatefafwwbshstsakyocikyhalnokytcigbauttcywywlotottfailstbimywprutrdytoiwaihaewwwffttutrdytoiwipripfiddoytoiwiwtdawyiwyctiwydmwyaambbiwtdawyiwyctiwydmwyaambbuilstbimywpratrytoiwihaewwwffttadytoiwilstbimywprutrdytoiwaihaewwwffttutrdytoiwipripfiamdytoiwipripfiamdoytoiwytoiwoiwytoiwoiw,pr
Cornelia Street,Lover,wwitbdossttditbirapocsiscitcwwafpotdfitbawgaitslpiaahluhaihinlyhineinwcsattkhtcnminwcsaabigmbhtcsynabistoiyewainwcsainwcsawfroaajrmsiywbtrocsmtcitfbwwwcspgitywlmoipmblcsbyekiwgbtycsyhitabihttsotryaiihinlyhineinwcsattkhtcnminwcsaabigmbhtcsyncsynabistoiyewainwcsainwcsayhmhotswmbttayawwjibitksnbtbmrlihinlyinwcsaonaabigmbhtcsyncsynabistoiyewainwcsainwcsaidwlyhineinwcsaidwlyyirapocsiscitc,cs
Death By A Thousand Cuts,Lover,mmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmsgidbatcfwmuigdbinectmcaynmbilttwotletwbtucsfhcicpiowinidbatcidtkmtittlwhiattliibatsidkawowoinonisyetotwsitstysiwagloftabitsowaiswpcsgidbatcfwmuigdbinectmcaynmbilttwotletwbtucsfhcicpiowinidbatcmhmhmbmltfapomtydtguomliwabdnisfsiahcosofuwsocgiwallqmfwttoyhpcsfoppmtmwmsmttfapomydtugytmbiwebibaijatcigdbinecynmbilttwotletwbtucsfhcicpiowinninidbatcydttfapomtydtmbmlmtidbatcbiweiwennittlwhiattliibatsidk,dbatc
